Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Austin Reaves,36:10,12,21,.571,5,13,.385,1,1,1.000,0,7,7,6,2,0,2,0,30,26.4,+18,reaveau01
Luka Dončić,33:56,5,20,.250,1,7,.143,10,13,.769,2,7,9,14,3,1,3,1,21,21.4,+19,doncilu01
Jordan Goodwin,32:40,6,9,.667,3,6,.500,0,0,,1,3,4,3,3,1,0,2,15,17.7,+9,goodwjo01
Dorian Finney-Smith,27:59,5,12,.417,4,8,.500,1,2,.500,2,1,3,1,0,0,0,1,15,10.2,+13,finnedo01
Jaxson Hayes,27:36,3,5,.600,0,0,,3,4,.750,2,9,11,3,2,1,2,1,9,12.8,+21,hayesja02
Gabe Vincent,27:58,4,6,.667,3,5,.600,0,0,,0,2,2,1,2,0,0,3,11,10.5,+9,vincega01
Dalton Knecht,20:24,4,10,.400,2,7,.286,3,4,.750,1,2,3,3,0,1,0,1,13,10.9,-5,knechda01
Jarred Vanderbilt,14:54,1,2,.500,0,0,,0,0,,0,1,1,1,0,0,1,1,2,0.6,-2,vandeja01
Christian Koloko,8:50,2,2,1.000,0,0,,0,0,,0,2,2,1,0,0,1,0,4,3.7,-4,kolokch01
Shake Milton,7:03,1,1,1.000,0,0,,0,0,,0,0,0,1,1,0,0,0,2,3.4,+4,miltosh01
Bronny James,2:30,1,2,.500,1,2,.500,0,0,,0,0,0,0,0,0,0,0,3,2.0,-2,jamesbr02
